guna_word;spanish_word;synonyms
Mururmuru;Aspero;Tosco, , , , 
Alu;Pene;Miembro viril, , , , 
Musele;Pez cochino;Pejepuerco, , , , 
Orwaib;Pez cochino;Pejepuerco, , , , 
Mussigwa;Breve;Corto, , , , 
Sorgwagwa;Breve;Corto, , , , 
Usgwagwa;Breve;Corto, , , , 
Giale;Breve;Corto, , , , 
Meddoggwagwa;Bfeve;Corto, , , , 
Muswe;Pañuelo de la cabeza;
Dunued;Pañuelo de la cabeza;
Muu;Abuela;
Wana;Pene;
Muuggwa;Enmohecido;
Muu;Abuela;
Nanseredi;Abuela;anciana 
Muubilli;Mar;Oceano, , , , 
Demar;Mar;Oceano, , , , 
Muudummad;Bisabuela;
Muuggwa;Anciana;Vieja, Veterana, , , 
Muyamagged;Cojear;
Muyamuyad;Cojo;
Alugwag;Testículo;
Yagguyaggud;Cojo;
Na;Maraca;Sonajero, , , , 
Nasis;Maraca;Sonajero, , , , 
Na yobi;Igual;Como, , , , 
Yobi;Igual;Como, , , , 
Emala;Igual;Como, , , , 
Na;Hola;Que tal, , , , 
Anna;Hola;Que tal, , , , 
Degidde;Hola;Que tal, , , , 
Naba;Calabaza;Palma de jira, Cerca, Al lado, , 
Abalagi;En el medio;
Alugwagwa;Testículo;
Nabayargan;Pez ronco;
Nabba;Tierra;Suelo, Sitio donde se vive, , , 
Nabbanega;Tierra;Suelo, Sitio donde se vive, , , 
Nabbagiid;Color chocolate;Marrón, , , , 
Sabgaaled;Color chocolate;marrón, , , , 
Nabbanono;Conejo pintado;
Sule;Conejo Pintado;
Nabbi;Más ;
Gaddig;Mucho;
Gaddiggi;Mucho mas ;
Ambala;No ha cambiado;Lo mismo, , , , 
nabbibileged;la ultima palabra ;Letra, , , , 
nabbibilegeddummad;Letra mayúscula;
Nabbinusa;Ultimo de los hijos;Ultimo amamantado, , , , 
Nabbiragwa;Verídico;Cierto, Evidente, Fehaciente, , 
Nabbiragwad;Verdad;Es verdad, Es cierto, , , 
Inniggigwad;Cierto;Es verdad, Es cierto, , , 
Nabiri;Verdad;Es verdad, Es cierto, , , 
Nabed;Plátano o fruta a punto de madurar;
Nabgwana;Madre tierra;
Ambalagwa;No ha cambiado;Lo mismo, , , , 
Naboed;Pagar;Acordar, convenir, , , 
Naboged;Pagar;Acordar, Convenir, , , 
Naboleged ;Volver a lastimarse;
Naiboleged  ;Volver a lastimarse;
Nabsaa;Arcilla;
Nabsen;Verruga;
Naed;Irse;Marchar, Encaminar, Andar, , 
Nag;Pie;Pata, Soporte, Raíz, , 
Naga;Pie;Pata, Soporte, Raíz, , 
Mali;Pierna ;Pata, Soporte, Raíz, , 
Amied;Buscar;Averiguar, Escudriñar, , , 
Nagab;A pie;Caminando, , , , 
Nagaba;Cerca;Junto a, Cerquita, Pegado, , 
Walig;Cerca;Junto, Cerquita, , , 
Waligga;Cerca;Junto a, Cerquita, , , 
Waliggagwa;Cerca;
Iddiggigwa;Cerca ;Cerquita, , , , 
Nagaba;Junto a;Pegado a, , , , 
Nagbeniga;Ciempies;
Nagbid;Dolor;Pesar, Sufrimiento, Dolencia, , 
Nunmagged;Dolor;Pesar, Sufrimiento, Dolencia, , 
Amilegoed;Objetivo ;lo que se va hallar 
Naged;Moler;Triturar, Pulverizar, , , 
Ubimagged;Moler;Triturar, Pulverizar, , , 
Nagege;Abundante ;Mucho, Suficiente, , , 
Doga;Bastante;Mucho, , , , 
Nagga;Desembocadura del río;
Naggarsimur;Tobillo;
Naggasi;Tendón de aquiles;Tendón de calcáneo, , , , 
Naggi;Con el pie;
Naggoo;Dedo de los pies;
Naggu;Paleta de tejer hamaca;
Durdaglegoed; enseñanza;
Nagguleged;Cuidar;Celar, Custodiar, , , 
Naggwar;Río arriba;
Naggwale;Río Arriba;
Naggwed;Subir;Escalar, Trepar, , , 
Nagsor;Talón;
Nagasola;Talón;
Nagubir;Palo amarrado que atraviesa el ancho de la casa;
Nagwar;Icaca;
Naid;Puesto;Lo que está escrito, Colgado
Amma;Tía;Pariente, Familiar, , , 
Naiimaggar;Quietud profunda;Calma, , , , 
Naiimaggale;Quietud profunda;Calma, , , , 
Nainu;Finca;Terreno trabajado, Parcela, , , 
Nala;Plato;Bandeja, Platillo, Variedad de bambú, , 
Nali;Tiburón;Tintorera, , , , 
Naliua;Pez rémora;
Nalu;Guacamaya; Pez pargo, , , , 
Nalub;Pixbae;
Iggodurba;Pixbae;
Iggosan;Pixbae;
Ammor;Tía;Pariente, , , , 
Naluginnid;Pargo rojo;
Nalled;Tacañear;Ser mezquino, No se generoso, , , 
Nallegala;Tacaño;Mezquino, , , , 
Nallegwa;Tacaño;
Nallesili;Tacaño;Mezquino, Avaro, , , 
Namagged;Cantar;Tararear, , , , 
Nana;Mamá;Madre, , , , 
Nanaed;Caminar;Andar, , , , 
Nandummad;Gran madre;Ser supremo, , , , 
Ammolo;Tía;Pariente, , , , 
Nanser;Abuela;
Muu;Abuela;
Nansui;Padrastro;
Narasdummad;Naranja;
Narasgan;Limonar;Naranjal, , , , 
Narassole;Limón;
Nared;Asar;Ahumar, , , , 
Nasi;Garra;Zarpa, , , , 
Nasigged;Colgar;Colocar, Poner, Suspender, , 
Neba;Llanura;Planicie, Llano, , , 
Amma;Órgano sexual femenino;
Negabar;Mitad;Centro, En medio, Por la mitad, , 
Negabala;Mitad;Centro, En medio, Por la mitad, , 
Abar ;Por la mitad;En medio, Por la mitad, , , 
Abala;Por la mitad;Mitad, , , , 
Negaddied;Lluvia;Aguacero, Chaparrón, Llover, , 
Diwied;Llover;Aguacero, Chaparrón, , , 
Negburba;Símbolo de la realidad;
Negwilub;Símbolo de la realidad;
Negburdagged;Soñar;
Gabdagged;Soñar;
Abargined;aquel del medio;
Omo;organo sexual femenino;
Neggabgwen;Medianoche;
Negagabigwen;Medianoche;
Negagabigwena;Medianoche;
Negguddulesa;Al anochecer;Al oscurecer, , , , 
Neggwaied;Barrer;Escobar, , , , 
Durmied;Barrer;
Durwied;Barrer;
Neggwebur;Pueblo;Poblado, Aldea, Comunidad, , 
Gwebur;Pueblo;Poblado, Aldea, Comunidad, , 
Negibgued;Amanecer;Madrugar, , , , 
ammanoo;rana;sapo
ibgued ;Amanecer;Madrugar, , , , 
Negoiboged;Amanecer;Madrugar, , , , 
Negimba;Patio entre casas;Callejas, Callejones, , , 
Negmadda;Charco;
Dimadda;Charco;
Negnussuggwa;Selva secundaria;
Neganussuggwagwa;Selva secundaria;
Negobandur;Temblor;Sismo, Terremoto, , , 
Negaobandule;Temblor;Sismo, Terrestre, , , 
Nonosibu;Cana;Pelo blanco, , , , 
Negabandur;Temblor;Sismo, Terremoto, , , 
Ammaser;Talingo o changamé;
Negoeged;Desmayarse;Perder conocimiento, , , , 
Oeged;Desmayarse;Perder conocimiento, , , , 
Negseed;Guiar;Servir a una comunidad, , , , 
Negsered;Selva primaria;
Negseredi;Selva primaria;
Neguan;Cementerio;Tumba, Composanto, , , 
Uan;Cementario;
Neguyau;Hogar;Morada, , , , 
Neggureged;Barranco;Depresión de tierra, Hondonada, , , 
Negweered;Barranco;
Ammasele;Talingo changamé;
Negyorgued;Escampar;
Nele;Persona que diagnostica enfermedades;
Nelerba;Sabio;Sabe a profundidad, , , , 
Nerbundor;Mujer nele;
Nergwa;Seis;Sexto, , , , 
Nia;Diablo;Satán, Fuerza maligna, , , 
Niaggwa;Obsceno;Escabroso, , , , 
Niba;Arriba;A lo alto, En alto, , , 
Nibgued;Altura;
Nibir;Libra;
Siggwisis;Talingo changamé;
Nidirbi;Pez raya;
Nied;Orientar a alguien;Brote de semilla, , , , 
Niga;Sobrino;Aliento, Vigor, , , 
Nigga;Hay;Para sobrino, , , , 
Niggibili;Jaiba;
Suggammi;Jaiba;
Niggoled;Invitar;Llamar, , , , 
Bingoled;Invitar;
Abgoled;Invitar;Llamar, , , , 
Niggued;Poseer;Haber, Tener, Obtener, , 
Siggwisidsi;Talingo;
Nii;Luna;
Niigaled;Eclipse lugar;
Nila;Plátano maduro asado;
Nisale;Obseno;
Nisaagwala;Obsceno;
Nisale;Húmedo;
Nisar;Achiote;
Nisagwale;Húmedo;Empapado, , , , 
Nisgwa;Estrella;
Noar;Incorrecto;Falso, , , , 
Noale;Incorrecto;Falso, , , , 
Nobed;Celo;Envidia, , , , 
Ammor;Tía;
Noed;Salir;Errar, Equivocarse, , , 
Nog;Taza;Totuma, , , , 
Noga;Taza;Totuma, , , , 
Nogare;Excavado;Hendido, , , , 
Nagarege;Excavado;Hendido, , , , 
Nogdar;Totuma para agua;
Noggobe;Totuma para beber;
Nogi;Rana;Sapillo, , , , 
Nogmaddar;Totuma para tomar inna en ceremonia;
nogmur;Cucharón;Cacillo, Cazo, , , 
Ammolo;Tia;
Surnono;Cucharon;Cacillo, Cazo, , , 
Nogsuid;Cucharon;Cacillo, Cazo, , , 
Nollogwa;Débil;Adormecido, , , , 
Mommogwa;Débil;Adormilado, , , , 
Nollosuli;Energico;Vigoroso, , , , 
Nongar;Calavera;
Noniggi;Llegó;Vino, , , , 
Nono;Cabeza;Cráneo, , , , 
Nonsagwar;Cerebro;
Saglasibu;Cana;Pelo blanco, , , , 
Amma;Tía;
Nonswili;Calvo;Rapado, , , , 
Nonswireged;Calvo;
Noo;Sapo;
Ammanoo;Sapo;
Nubi;Conejo;Liebre, , , , 
Nubigwa;Conejo;Liebre, , , , 
Nudagged;Reparar;Arreglar, Remediar, , , 
Nudsu;Imagen de madera tallada;De uso terapeútico, , , , 
Nued;Excelente;Con esmero, Con cuidado, , , 
ammuggued;Desplomarse;Tumbarse, , , , 
Nuedi;Excelente;Bueno, gracias, , 
Yeerba;Excelente;Bueno, , , , 
Nued;Mamar;
Mamnued;Mamar;
Nuegwa;Bien;Con esmero, Con cuidado, , , 
Nueggwa;Bien;Con esmero, Con cuidado, , , 
Nuga;Nombre;
Nugar;Diente;Filo, , , , 
Nugarnele;Dentista;Odontologo, , , , 
Nugarsan;Encía;
Abba;Boa;
Amurege;Turbio;Oscuro, Se refiere a liquido, , , 
Nuggu;Regazo;
Nuggued;Tener nombre;Nominarse, Ser elegido, , , 
Nuggule;Cóncavo;Sinuoso, , , , 
Nugmesed;Inscribirse;Registrarse, , , , 
Nugued;Sanar;Restablecerse, Reponerse, , , 
Nulu;Guayaba;
Nunis;Leche materna;
Nunisa;Leche materna;
Nunmagged;Dolor;Pesar, Sufrimiento, Dolencia, , 
Naibid;Dolor;Sufrimiento, , , , 
An;Yo;
Nunu;Dañado;Podrido, Putrefacto, , , 
Nus;Gusano;
Nusu;Gusano;
Nusa;Ratón;Rata, Roedor, , , 
Nuu;Seno;Teta, Ubre, Paloma, , 
Nuudagged;Mirar;
Nuusaa;Huevo de gallina;
Ganniraggwa;Huevo de gallina;
Manisibu;Huevo de gallina;
Nussuggwa;Joven;Mozo, Se refiera a edad, , , 
Ani;Yo;
Nussuggwagwa;Joven;Mozo, , , , 
Oo;Catarro;Gripe, Resfriado, , , 
Oa;Especie de maguey;
Oaed;Tender algo al sol;Asolear, , , , 
Oaramagged;Avivar fuego;Atiizar, , , , 
Sogannoed;Avivar fuego;
Oba;Maíz;Mijo Huevo de pez, , , , 
Obadded;Abatir  ;Tumbar frutas del arbol, Dejar caer , , , 
Obaggar;Al otro lado;En el lado opuesto, , , , 
Obagggale;Al otro lado;
Ana;Rama;Parte de, , , , 
Obagged;Cruzar;Atravezar
Obaned;Empujar;Ladear, Marginar, , , 
Obannoged;Alejar;Apartar, Separar, , , 
Obared;Mencionar;Acordarse, Referirse, , , 
Obdudu;Maíz nuevo;Mazorca, , , , 
Obed;Bañarse;Ducharse, Abandonar, , , 
Obeged;Dejar;Abandonar, , , , 
Obeloged;Acabar;Finalizar, , , , 
Ogwinmagged;Acabar;Finalizar, , , , 
Obgan;Maizal;
Anar;Por;En lugar de,  En sustitución, , , 
Obgialed;Sin bañarse;Ropa sucia, Mujer que ha pasado por ceremonia, , , 
Obined;Sobrante;Superar, Descollar, Voltear, , 
Obinoed;Renovar;Innovar, Remozar, , , 
Obinoged;Renovar;Innovar, , , , 
Binoed;Renovar;Innovar,Renovar, , , , 
Binoged;REnovar;Innovar, Remozar, , , 
Obinyed;Crear;Transformar, , , , 
Obired;Devolver;Restituir, Hcer regresar, , , 
Obnaged;Moler maíz;Maquina de moler maíz, , , , 
Obsag;Sopa de harina de maíz;
Anale;Por;En lugar de,  En sustitucion de, , , 
Obsiga;Pelusa de la mazorca;
Obu;Granero de maíz;Silo, , , , 
Obuu;Granero de maíz;Silo, , , , 
Obued;Deshacer algo blando;Machacar, , , , 
Obuloged;Exagerar;Extremar, Exceder, Agravar, , 
Obunnoged;Descansar;Reposar, Signode punto, , , 
Obur;Canoa;Batel, , , , 
Dabur;Canoa;Batel, , , , 
Dabuulu;Canoa;Batel, , , , 
Obured;Mezclar;Enredar, Confundir, , , 
Anbayo;Todavía no; Un momento, Espere, , , 
Oburgwed;Matar;Eliminar, , , , 
Gindagged;Matar;Eliminar, , , , 
Giloged;Matar;luchar
Obusged;Pelar;luchar 
Edared;Pelar;Quitar la cáscara, , , , 
Enubed;Pelar;Quitar la cáscara, , , , 
Odagged;Despertar;Avivar, Estimular, , , 
Odaloged;Explicar;Interpretar, Traducir, , 
Oduloged;Explicar;Interpretar, Traducir, , , 
Odeged;Bajar;Descender algo, , , , 
Yoo;Todavía no;Un momento, , , , 
Odeed;Bajar;Descender algo, , , , 
Odigigwa;Recto;Rectilíneo, , , , 
inniggigwa;Recto;Rectilíneo, , , , 
Odinnoged;Secar;Enjugar, Desaguar, , , 
Odinnoed;Secar;Enugar, Desaguar, , , 
Odoged;Meter;Introducir, Encjar, Enclavar, , 
Oduggued;Esconder;Ocultar, , , , 
Odurdagged;Enseñar;Educar, Dsiciplinar, Docente, , 
Oeged;Desmayarse;Perderse, , , , 
Negoeged;Desmayarse;
Yoogwe;Todavía no; Un momento, Espere, , , 
Oyoggued;Perder;
Ogaed;Encender;Hacer algo, , , , 
Ogaggarmagged;Agitar ramas de árbol para hacer caer frutas;
Oged;Bañar;Mojar, duchar, , , 
Obined;Sobrante;
Oginned;Apagar ;Extinguir, , , , 
Ogob;Coco;
Oggob;Coco;
Ogobasa;Resto de coco rallado;
Ogobdudu;Coco de maíz tierno;
Anbe;Diez;Cuñada dicho por un varón, , , , 
Ogobebinaled;Cocor rayado;
Ogobnagaled;Coco;Rayado, , , , 
Ogobenubed;Tenaza de pelar cocos;Descascarar coco, , , , 
Ogobgaa;Hoja de cocotero;
Ogobgan;Cocotal;
Ogobgana;Cocotal;
Ogobgwallu;Aceite de coco;
Ogobnied;Coco nacido;
Ogobnis;Leche de coco;
Ogobnisa;Leche de coco;
Abbagi;Boa;
Anbesui;Concuñado;
Ogobugga;Estopa;Cáscara de coco, , , , 
Ogobwala;Palma de coco;
Ogobwar;Tronco de coco;
Ogoled;Sonar;
Ogummagged;Quemar;Calcina, Chamusgar, , , 
Ogunned;Dar de comer;Alimentar, , , , 
Oiboged;Trasnocharse;Pernoctar, , , , 
Oied;Talar;
Oimagged;Bulla;Escándolo, Griterío, Alboroto, , 
Oisoged;Avisar;
Anbi;Yo solo;
Olaed;Tumbar;Hacer caer, , , , 
Omuggued;Tumbar;Hacer caer, , , , 
Olargan;Anillo;Aro, Sortija, , , 
Olasu;Nariguera;Anillo de la nariz, , , , 
Olli;Barro;Lodo, Fango, , , 
Olliggwa;Bebida dulce de maiz o cacao;
Ollilele;Espeso;Gelatinoso, , , , 
Olliggwagwa;Espeso;
Ollogwa;Vacío;
Ollole;Espacioso;Ancho, Amplio, , , 
Anbo;Conmigo;
Ollomagged;Vaciar;Desocupar, Ahuecar, , , 
Olobibbirgunyai;Madre tierra que gira y avanza;
Oloiddirdili;Madre tierra;Dividida en continentes, , , , 
Ololele;Circulo;Redondo, , , , 
Oroggwagwa;Redondo;
Dirbir;Redondo;
Dirbile;Circulo;Redondo, Circular, , , 
Olonailasob;Primera mujer;
Olonaiggabaler;Personaje que simboliza el mal;
Biler;Personaje que simboliza el mal;
Anbogwa;Conmigo;
Olor;Cigarra;
Olornii;Abril;
Olowagli;Unica mujer entre hermanos;
Olowaibibbiler;Personaje central de Babigala;
Ibler;Personaje central de Baigala;
Ibeler;Personaje central de Babigala;
Ololua;Orejera;
Olugged;Joyero;Orfebre, Platero, , , 
Orsobed;Joyero;Orfebre, , , , 
Omaed;Dar papilla  a bebe;Animal, Juego de escondite, , , 
Anbogwad;Mi pareja;Consorte, Esposa, , , 
Ome;Esposa;Mujer, , , , 
Sanwa;Esposa;
Omegid;Afeminado;Homosexual, , , , 
Omeloged;Aumentar;Sumar, Añadir, , , 
Meloged;Aumentar;Sumar, Añadir, , , 
Omemmermagged;Flamear;Ondear, Agitar, , , 
Omo;Organo sexual femenino;
Sisi;Organo sexual femenino;
Omoed;Hacer llegar;Reunirse con la mujer, , , , 
Omuggued;Tumbar;Hacer caer, , , , 
Angad;Mío;Mía, Mi, , , 
Olaed;Tumbar;Hacer caer, , , , 
Onaggwed;Subir;Ascender, , , , 
Onasgued;Extender;Difundir, Divulgar, Multiplicar, , 
Onasoed;Extender;
Onired;Mover del sitio;Desplazar, Trasladar, , , 
Onmagged;Reunir;Convocar, Amontonar, , , 
Iddogedneg;Casa del Congreso;
Orgunneg;Casa del congreso;
Iddogunneg;Casa del Congreso;
Onoded;Inicio;Comienzo, Introducción, , , 
Angadi;Mío;Mía, Mi, , , 
Onoged;Sacar;Titular a un alumno, , , , 
Onoed;Sacar;
Ononnoged;Ahuyentar;Espantar, Atemorizar, Alejar, , 
Onued;Dar pecho;Amamantar, , , , 
Or;Oro;
Olo;Oro;
Gungi;Oro;
Ormer;Cesta;Canasta, , , , 
Oroggwagwa;Redondo;
Dirbir;Circular;
Angi;Langostino;Crustaceo, En mi,  De mi, , 
Ololele;Redondo;Circular, , , , 
Oros;Arroz;
Orossor;Concolón;
Orossola;Concolón;
Orsar;Utensilio de cocina para amasar plátano;
Orwaib;Pez ballesta;Pejepuerco, , , , 
Muusele;Pez cochino;
Oseniggued;Achicar;Reducir, Disminuir, , , 
Osgomagged;Sollozar;Llorar, Lloriquear, , , 
Osgon;Agallas;Amigdalas, , , , 
Annagwa;Cuñada;Hermana del maridol, , , , 
Osi;Piña;
Osidiggi;Muy dulce;Dulzón, , , , 
Osinis;Jugo de piña;
Osinisa;Jugo de piña;
Osogwa;Estrecho;Angosto, Ceñido, , , 
Ossi;Azucar;Platano primitivo, , , , 
Sugar;Azúcar;
Osuggued;Enfriar alguna debida;
Osugued;Alargar;Prolongar, , , , 
Osuloged;Anular;Negar, , , , 
Annagwa;Cuñada;Hermana del marido, , , , 
Oswiswimagged;Sacar punta;Afilar, , , , 
Owardiggued;Mojar;
Owiloed;Añadir más líquido;
Wiloed;Añadir;
Wiloged;Añadir más líquido;
Owisoged;Informar;Avisar, Notificar, Anunciar, , 
Oyoed;Mostrar;Manifestar, Expresar, Exponer, , 
Oyeged;Mostrar;Exponer, , , , 
Oyoggued;Perder;Extraviar, , , , 
Oeged;Perder;Extraviar, , , , 
Aadi;eso;
Abbalalla;Centrico;
Anna;Hola;Que tal, , , , 
Saa;Excremento;Heces, Excreta, Oxido, , 
Saabio;Diarrea;Evacuaciones liquidas, , , , 
Disegad;Diarrea;
Sadib;Diarrea;
Saamesed;Oxidarse;Corroerse, , , , 
Saban;Estómago;Vientre, , , , 
Sader;Estómago;Vientre, , , , 
Sagi;Estómago;Vientre, , , , 
Sabban;Leña;
Sabbi;Arbol;Arbusto, , , , 
Naa;Hola;Que tal, , , , 
Sabbibenega;Seno materno;
Sabbidurba;Fruta;
Sabbigaa;Hoja del arbol;
Sabbigarda;Arbol de hojas amargas;
Sabbimali;Raíz del árbol;
Sabbimima;Cogollo de la raíz de la planta;
Sabbin;Joven;Discíoulo, Alumno, , , 
Sabbir;Zurdo;Izquierda, , , , 
Sabbiled;Zurdo;Izquierda, , , , 
Sabbisagla;Raíz del árbol;
Annaed;Pisar;
Sabbimali;Raíz del árbol;
Sabbiugga;Corteza de árbol;
Sabbiwar;Tronco de árbol;
Sabbiwala;Tronco de árbol;
Sabbur;Bosque;Monte, Selva, , , 
Sabdur;Jagua;
Sidsi;Jagua;
Sabed;Amor;Cariño, Afecto, , , 
Sabga;Carta;Mensaje, Hoja, cuaderno, , 
Sabgaaled;Chocolate;Marrón, , , , 
Annugged;Lavarse las manos;
Nabbagiid;Chocolate;Marrón, , , , 
Sabgasuwar;Lápiz;Lapicero, , , , 
Sabgued;Amar;Encariñarse, , , , 
Saboged;Guardar;Ahorrar, Conservar, Archivar, , 
Sabsursaed;Maltratar;Dañar, Lastimar, , , 
Sabured;Enagua;Frazada, , , , 
Sadde;No hay;Nada, Cero, , , 
Saddewar;Palo santo;
Saddewala;Palo santo;
Sader;Estómago;Vientre, , , , 
Ansig;Hacia mi;Del lado mio, , , , 
Sagi;Estómago;Vientre, , , , 
Sadued;Defecar;Excretar, Deponer, , , 
Disnaed;Defecar;
Aggued;Defecar;
Sae;Ayer;
Saed;Hacer;Realizar, Ejecutar, , , 
Imagged;Hacer;Realizar, Ejecutar, , , 
Saedagged;Odiar;Repudiar, , , , 
Isdardagged;Odiar;Repudiar, , , , 
Saeiddoged;Disgustarse;
Ansiggi;Hacia mi;Del lado mio, , , , 
Sagbundor;Suegra;
Saggabunadola;Suegra;
Sagga;Suegro o suegra;
Saggan;Ala;Aleta, , , , 
Saggi;Red;Malla, , , , 
Saggileged;Machucarse;Magullarse, Ser robado, , , 
Saggumagged;Masticar;Mascar, , , , 
Saggwa;Brazo;
Surgan;Brazo;
Swida;Brazo;
Ansu;Sirena;
Sagi;Estómago;
Sagirburwa;Viento del noroeste;
Sagisuid;Glotón;Insaciable, Hambriento, , , 
Sagla;Guía religioso;Autoridad de la comunidad, , , , 
Sagladummad;Autoridad mayor comarcal;
Saglagia;Cabello;Pelo, , , , 
Saglar;Con toda la raíz;
Saglale;Con toda la raíz;
Saglabela;Con toda la raíz;
Saglasibu;Cana;Pelo blanco, , , , 
Anwar;Envuelto;Refiere a medicamento o alimento, , , , 
Nonosibu;Cabello blanco;
Sagmassered;Suegro;
Saggamassseredi;Suegro;
Sagu;Saco;Bolsa, , , , 
Salli;Martín Pescador;
Sallig;Llevar algo a la cadera;
Salliggine;Llevar algo a la cadera;
Salluleged;Magullarse;
Salu;Almeja del río;
Samor;Pañal;Sabanilla, , , , 
Anwale;Envuelto;
Samu;Comején;
Samur;Intestino;Entraña, Víscera, , , 
Sana;Cuándo;
Ingua;Cuándo;
Sana;Carne;
Sanargued;Demorar;Apersonarse, Manifestarse, Aparecer, , 
Sangwa;Esposa; Mujer de, , , , 
Ome;Esposa;Mujer, , , , 
Sargag;Variedad de Tucán;
Saligagga;Variedad de Tucán;
Anwed;Envolver;
Sargi;Bejuco;
Sarsoged;Pegar;Golpear, , , , 
Sasir;Cintura;
Saya;Ano;
Saataa;Ano;
Sayee;Insípido;
Sayegwa;Insípido;Desaborido, , , , 
Sedaged;Traer hacia uno;
Seded;Cargar;Transportar, , , , 
Sedo;Tarde;Por la tarde, , , , 
Abanned;Olor;
Arad;Azul;
Dadnade;Tarde;Por la tarde, , , , 
Sedogwen;Apenas anochecio;Al oscurecer, , , , 
See;Aleta;De verbo semilla, , , , 
Seed;Llevar;Cargar, Guiar, Gobernar, , 
Segar;Fósforo;Cerilla, , , , 
Seggar;Fósforo;
Sela;Marinero;Navegante, , , , 
Selelleged;Fuerte;Duro, Macizo, Sólido, , 
Duddusulid;Fuerte;Duro, Macizo, Sólido, , 
Senigwa;De tamaño menor;No tan pequeño, , , , 
Aramagged;Avivarse el fuego;
Saisaale;De tamaño pequeño;No tan pequeño, , , , 
Yaigwa;De tamaño pequeño;
Senya;Axila;Sobaco, , , , 
Sered;Viejo;Mayores, Antepasados, , , 
Sergan;Viejos;Mayores, , , , 
Sergued;Paso de pubertad;
Yaaleged;Paso de pubertad;
Sese;Saltamontes;Insecto, Grillo, , , 
Siagwa;Cacao;
Sia;Sobrina;Cacao, , , , 
Arbaed;Trabajar;Afanarse, Laborar, , , 
Sianar;Brasero;Recipiente de arcilla, , , 
Sianala;Brasero de arcilla;
Sibad;Chivo;Cabra, , , , 
Sibbor;Rubia;Mujer de color claro, , , , 
Sibbu;Rubio;Varón de color claro, , , , 
Sibbugwad;Blanco;
Sibbusuli;Oscuro;Tosco, Negro, , , 
Gorosuli;Oscuro;Fosco, Negro, , , 
Sibeb;Escarabajo;
Sidsi;Jagua;
Arbag;A escondidas;A espaldas,  A hurtadillas, , , 
Sabdur;Jagua;
Sidsid;Negro;Oscuro, Prieto, , , 
Sidsir;Hormiga;
Sied;Sentar a alguien;Colocar, Poner, Colocar, , 
Siga;Vello;Barba, Pelo, , , 
Absar;Vello;barba, Pelo, , , 
Absala;Vello;Barba, Pelo, , , 
Sigabula;Pez barbudo;Barbón, Barbudo, , , 
Sigali;Cigarrillo;
Siged;Sentarse;Tomar asiento, Posarse, , , 
Arbagge;A escondidas;A espaldas, , , , 
Siggasigga;Picotear;Picar, No dar en el blanco, , , 
Sigged;Cortar;Seccionar, Trozar, Partir, , 
Siggirmagged;Echarse atrás;Retroceder, Retroceso, , , 
Siggwas;Breve;Poco, No mucho, , , 
Siggwasobunnoged;Descanso breve ;Signo de coma, , , , 
Siggwi;Pájaro;Ave, Secretario, Interprete, , 
